model,KL,JSD
BPR,0.8828704023634725,0.05601086272443053
BPR,2.8867554887454845,0.0980051315088647
BPR,0.45899695259809953,0.06486896351592933
BPR,7.624307197637926,0.2034692657679787
BPR,3.3639503777594784,0.09209470799503726
BPR,5.233384059471962,0.12984016912734203
BPR,6.751036153144658,0.17960669195425086
BPR,1.3428121459004254,0.08328962070242751
BPR,4.520853154544053,0.12003253591258989
BPR,1.0418638818103054,0.07275117655394925
BPR,0.7554585198423014,0.07471240618510372
BPR,1.4093523786516495,0.10764175445028473
BPR,0.48762987167955735,0.03294906762972635
BPR,0.01577869230572913,0.0056189773270589076
BPR,5.782896583403099,0.18411289717441262
BPR,6.68741521547373,0.1825870978691184
BPR,6.810580964356188,0.21247076648720417
BPR,0.7307229561159848,0.06730847299522934
BPR,1.3092771442579945,0.0672070080664682
BPR,1.4581591722011342,0.040199458032296846
BPR,0.06637647920913976,0.025736587404747397
BPR,0.9162907317462361,0.3958156019091898
BPR,4.245145390355206,0.1038587850197069
BPR,3.4401576209521196,0.10474026445340653
BPR,4.976540310512383,0.1292917990466382
BPR,3.9287708991434855,0.10903145700592891
BPR,3.8054338643332035,0.12575746835228843
BPR,3.1970935671720073,0.09163560936603939
BPR,5.412680393298637,0.14164660730436654
BPR,7.772045368616174,0.22926649016482803
BPR,0.7529682564111024,0.06962694779886117
BPR,5.918158363330288,0.14537566946012612
BPR,1.7778067430791689,0.0578511141461779
BPR,4.767455864568921,0.1757696109819845
BPR,8.193371667042875,0.21572357285249763
BPR,2.4615143676627933,0.07189922049205898
BPR,3.3034472887237554,0.08316723274951997
BPR,1.2047619085500514,0.053121981986119594
BPR,7.6364566600344705,0.17719929927975628
BPR,2.1964152518569637,0.10364932829092295
BPR,3.6080153940299753,0.11217063327848469
BPR,5.234491708871141,0.13929379053721508
BPR,6.561603319468733,0.16365788479671017
BPR,3.549678378986129,0.09471858452203892
BPR,2.01292671762545,0.06849486931092967
